epoch,average,_0,_1,_2,_3,_4,_5,_12,_13,_14,_15,_23,_24,_25,_34,_35,_45,_123,_124,_125,_134,_135,_145,_234,_235,_245,_345,_1234,_1235,_1245,_1345,_2345
1,6.2489,11.0726,5.8299,6.0551,5.9749,5.9272,5.9727,5.7804,5.9876,6.0012,5.9668,5.8431,5.8402,5.8651,5.8672,5.8955,6.0459,5.986,5.7793,5.8229,5.9672,5.7613,5.8585,5.9771,10.9766,5.9491,6.0269,6.0051,6.009,5.9371,5.8583,5.8753
2,12.0965,16.6789,11.703,11.8488,11.8141,11.7439,11.8704,11.7121,11.7008,11.8919,11.8461,11.8038,11.9185,11.9196,11.8182,11.7182,11.8428,11.7529,11.7807,11.6332,11.752,11.7184,11.7674,11.7698,16.6136,11.8245,11.8135,11.8207,11.7984,11.7163,11.6892,11.7089
3,18.036,22.2411,17.7081,17.7871,17.6639,18.8392,17.7391,17.61,17.622,17.8138,17.6993,17.5673,17.7979,17.7413,17.7629,17.6976,17.8446,17.7146,17.5618,17.617,17.6375,17.5032,17.6937,17.7532,22.2712,17.7028,17.8275,17.8179,17.8319,17.6995,17.651,17.697
4,23.9118,27.9684,23.5362,23.7425,23.6287,24.6892,23.7444,23.5457,23.4144,23.8503,23.6806,23.5512,23.8131,23.7347,23.598,23.4827,23.6236,23.6776,23.5356,23.3977,23.5409,23.4476,23.4691,23.6212,28.061,23.6816,23.6269,23.5983,23.6264,23.4619,23.4472,23.4676
5,29.8057,33.5167,29.5937,29.67,29.4754,30.8047,29.6074,29.5679,29.2293,29.6929,29.5336,29.3277,29.641,29.6371,29.6424,29.4905,29.5294,29.5843,29.3011,29.3758,29.2938,29.2631,29.4563,29.533,33.7089,29.488,29.5263,29.5031,29.6061,29.4519,29.4671,29.459
6,35.7189,39.3207,35.4604,35.7502,35.5344,36.729,35.7123,35.3864,35.1351,35.7993,35.5856,35.2855,35.5389,35.5182,35.4723,35.2778,35.4987,35.6593,35.1578,35.1162,35.3155,35.165,35.2762,35.4562,39.5712,35.5012,35.4611,35.3903,35.4708,35.2306,35.2472,35.2618
7,41.5893,44.8711,41.5158,41.6081,41.3801,42.8094,41.5345,41.4526,40.9038,41.6102,41.3916,41.115,41.4339,41.4132,41.4686,41.193,41.2732,41.5029,41.0485,41.0942,41.072,41.0864,41.2623,41.2352,45.236,41.301,41.2412,41.2493,41.3738,41.1393,41.1937,41.2569
8,47.4882,50.5567,47.3403,47.6341,47.3987,48.6668,47.5275,47.2466,46.9465,47.6552,47.4266,46.9507,47.2287,47.1767,47.3007,47.0648,47.2734,47.5452,46.8485,46.8556,47.0481,46.8459,47.0259,47.1961,51.1055,47.3163,47.2586,47.2386,47.3249,47.0391,47.005,47.0866
9,53.3696,56.2635,53.26,53.451,53.1699,54.5881,53.2983,53.2545,52.744,53.4699,53.2316,52.9111,53.2282,53.1822,53.3086,52.9427,53.1009,53.3801,52.8248,52.7199,52.8315,52.8674,52.9195,52.9587,57.4872,53.1494,53.0611,53.0419,53.1082,52.87,52.8802,52.9518
10,59.271,61.8741,59.1409,59.4615,59.0565,60.5208,59.1703,59.0908,58.7849,59.4164,59.1096,58.7096,59.0048,58.9501,59.162,58.8709,59.067,59.4256,58.5866,58.6183,58.7532,58.6249,58.7576,58.9567,63.3519,59.0907,59.0603,59.0594,59.1423,58.8568,58.8339,58.8933
11,65.1284,67.6785,64.9291,65.2283,64.944,66.3273,65.0188,65.0594,64.5941,65.2896,65.0551,64.7061,65.0401,64.9416,65.0504,64.6641,64.8525,65.226,64.5617,64.3821,64.6342,64.5855,64.5775,64.7418,69.2079,64.9535,64.8594,64.8962,64.9471,64.655,64.607,64.7663
12,71.0176,73.3419,70.8379,71.0917,70.7351,72.4222,70.7689,70.9133,70.5318,71.1231,70.8381,70.5397,70.869,70.7276,71.0278,70.6291,70.7868,71.1116,70.3232,70.3646,70.4602,70.369,70.5551,70.6864,74.9489,70.7937,70.8587,70.907,70.9461,70.684,70.6017,70.7526
13,76.8973,79.2218,76.5989,76.9711,76.662,78.2061,76.6989,76.7127,76.4711,77.1165,76.8326,76.5696,76.8681,76.6571,76.8696,76.4444,76.6499,76.9864,76.2862,76.1592,76.425,76.3006,76.3198,76.542,80.9257,76.7966,76.6937,76.7165,76.6973,76.5029,76.3839,76.5315
14,82.7704,84.9055,82.537,82.7316,82.4011,84.2445,82.4354,82.707,82.3135,82.9481,82.6205,82.3831,82.7686,82.5057,82.8724,82.4186,82.4876,82.7531,82.1981,82.1318,82.1976,82.1686,82.2935,82.3484,86.7223,82.5774,82.5665,82.5948,82.6621,82.4897,82.4015,82.4958
15,88.6742,90.72,88.2946,88.717,88.3635,90.0502,88.3817,88.4775,88.3374,88.9784,88.6042,88.3012,88.6444,88.3288,88.6476,88.206,88.461,88.713,88.0488,87.8909,88.2173,88.0329,88.0742,88.309,92.7398,88.5897,88.9588,88.5086,88.5136,88.3197,88.2127,88.2573
16,94.5489,96.5201,94.2372,94.5158,94.1144,96.0281,94.1454,94.4712,94.1677,94.803,94.3967,94.1835,94.6286,94.3095,94.6471,94.1369,94.2661,94.4561,94.0508,93.7958,94.0319,94.0189,94.031,94.0885,98.5646,94.3794,94.752,94.3388,94.3823,94.201,94.1833,94.1717
17,100.4529,102.2125,100.0128,100.5292,100.0594,101.9446,100.0823,100.2425,100.1358,100.8367,100.3276,100.0218,100.4426,100.0892,100.4697,100.0283,100.2715,100.4615,99.8647,99.625,100.0069,99.7855,99.8533,100.0526,104.5541,100.38,100.7945,100.3302,100.4039,100.1222,100.0538,100.0454
18,106.321,108.1399,105.9004,106.3516,105.9433,107.867,105.9028,106.1996,105.9246,106.6786,106.19,105.9859,106.4875,106.0658,106.469,105.8387,106.0676,106.2095,105.9341,105.4075,105.8108,105.8146,105.6973,105.8507,110.4615,106.1811,106.5535,106.1257,106.1867,105.9272,105.9018,105.8763
19,112.2335,113.8738,111.8068,112.362,111.8569,113.917,111.7569,112.046,111.8536,112.5983,112.0701,111.7776,112.3327,111.8238,112.3412,111.8485,112.0401,112.108,111.7488,111.3473,111.7076,111.6526,111.6079,111.8158,116.3923,112.1286,112.5362,112.1394,112.1809,111.9231,111.8273,111.8165
20,118.1123,119.7997,117.6244,118.2844,117.8607,119.7776,117.6935,117.9132,117.6975,118.5614,117.994,117.806,118.3934,117.7856,118.1982,117.6442,117.8003,117.9839,117.7272,117.1025,117.6105,117.6615,117.3785,117.6331,122.3668,118.0194,118.3001,117.9597,117.9659,117.7073,117.621,117.6094
21,124.0058,125.5508,123.607,124.1912,123.6878,125.87,123.4737,123.8223,123.5339,124.4007,123.7924,123.6722,124.2134,123.6079,124.1696,123.598,123.7105,123.8257,123.4905,123.0644,123.3994,123.4871,123.3488,123.4847,128.1628,123.898,124.2305,123.9747,123.9438,123.6967,123.6728,123.5999
22,129.8948,131.4767,129.3699,130.1615,129.7476,131.7448,129.4775,129.5851,129.5114,130.3858,129.7695,129.6558,130.1281,129.4227,129.9837,129.3718,129.6506,129.7851,129.3639,128.8296,129.373,129.3353,129.1418,129.4035,134.1404,129.9004,130.0694,129.7644,129.7022,129.5041,129.5603,129.4222
23,135.7875,137.3345,135.3656,136.035,135.5836,137.8092,135.2357,135.5626,135.3467,136.1842,135.5597,135.462,136.1015,135.3417,135.9955,135.3491,135.4112,135.5316,135.2828,134.8225,135.1437,135.2929,135.1077,135.2068,139.9195,135.7238,135.9246,135.6492,135.5926,135.4681,135.6687,135.3995
24,141.6802,143.1128,141.127,142.0489,141.5638,143.668,141.1877,141.3323,141.4178,142.1927,141.523,141.3732,141.9076,141.0809,141.8378,141.1954,141.3924,141.5228,141.0665,140.5695,141.1522,141.0856,140.8875,141.2374,145.8796,141.7224,141.8718,141.6037,141.5305,141.331,141.4697,141.1939
25,147.5509,149.0642,147.0394,147.8365,147.3433,149.6183,146.9637,147.3595,147.2293,147.9856,147.2952,147.3577,147.9503,147.0659,147.8466,147.0615,147.1554,147.308,147.0485,146.4732,146.9277,147.0929,146.7394,147.0009,151.6611,147.5137,147.6558,147.4128,147.3446,147.2239,147.3821,147.1194
26,153.4518,154.8371,152.911,153.8394,153.2809,155.5467,152.8081,153.1058,153.2671,153.987,153.2178,153.1895,153.7293,152.846,153.6389,152.9821,153.1321,153.2135,152.8116,152.3683,152.8703,152.8801,152.658,152.9558,157.6027,153.477,153.6823,153.4031,153.3445,153.1479,153.288,152.9846
27,159.3086,160.8596,158.7078,159.6097,159.1876,161.4202,158.6726,158.9945,159.0805,159.8047,159.0971,159.2105,159.7645,158.8723,159.555,158.7798,158.8917,159.0148,158.7918,158.1253,158.7942,158.8136,158.4314,158.7208,163.4692,159.2617,159.507,159.1914,159.1377,158.9453,159.0704,158.7837
28,165.2051,166.6492,164.6815,165.5183,165.0344,167.4365,164.4352,164.8195,165.0135,165.685,164.903,165.0394,165.5757,164.6496,165.5077,164.7521,164.8008,164.8269,164.5647,164.0916,164.6564,164.5679,164.4488,164.6306,169.3,165.1415,165.5218,165.1777,165.1207,164.9569,165.0921,164.7589
29,171.0865,172.6522,170.447,171.4063,171.0089,173.2583,170.4081,170.583,170.9827,171.6475,170.8596,171.0259,171.5493,170.5176,171.3307,170.5917,170.6669,170.7223,170.483,169.8488,170.6776,170.5353,170.2255,170.4982,175.2787,171.0995,171.3218,170.9653,170.9207,170.7386,170.91,170.5203
30,176.9747,178.525,176.4506,177.2328,176.8137,179.3102,176.1827,176.549,176.7932,177.434,176.6418,176.8438,177.4193,176.4244,177.3334,176.5841,176.4672,176.5136,176.3271,175.7872,176.4221,176.454,176.2081,176.3073,181.1018,176.9396,177.2245,176.9184,176.8557,176.7319,176.9101,176.5103
31,182.8646,184.4164,182.247,183.2082,182.8534,185.1473,182.1812,182.314,182.7753,183.4667,182.6578,182.8363,183.276,182.2527,183.133,182.3604,182.4537,182.4723,182.0984,181.5454,182.4477,182.2731,181.9796,182.2763,187.0995,182.9551,183.095,182.8013,182.7205,182.5094,182.6723,182.2774
32,188.7496,190.3698,188.2486,189.0052,188.6831,191.1959,187.9815,188.2561,188.5495,189.256,188.4874,188.693,189.255,188.2511,189.1366,188.2688,188.2234,188.2111,188.1534,187.4293,188.2328,188.2225,187.8997,188.0356,192.9252,188.7729,188.9126,188.7232,188.5693,188.4184,188.637,188.2326
33,194.6519,196.171,194.0457,195.0296,194.6783,197.0648,193.8918,194.0129,194.5534,195.2642,194.4585,194.5936,195.0575,194.0413,194.9162,194.1666,194.2341,194.1698,193.9377,193.2747,194.1787,194.0144,193.7044,194.0055,198.9391,194.766,194.9252,194.6787,194.5075,194.3569,194.491,194.0799
34,200.5135,202.1595,199.9893,200.8453,200.5338,202.9836,199.7863,199.9598,200.3362,201.0755,200.2592,200.4919,201.0709,200.0198,200.8637,199.9716,199.9908,199.9359,199.9193,199.0373,199.9754,200.0269,199.5591,199.8044,204.7705,200.5467,200.7145,200.4614,200.293,200.2409,200.3607,199.9342
35,206.4201,207.9271,205.8933,206.8034,206.4399,208.9934,205.6114,205.8195,206.2944,207.0397,206.1199,206.3139,206.8523,205.8269,206.7157,205.9803,205.9741,205.8393,205.7084,204.979,205.859,205.7914,205.4624,205.7277,210.6964,206.4889,206.7041,206.5042,206.306,206.2254,206.2673,205.8592
36,212.29,213.922,211.7169,212.651,212.4086,214.8441,211.5647,211.6654,212.1264,212.9329,212.097,212.2807,212.8644,211.7424,212.5294,211.7572,211.7121,211.7322,211.7193,210.7183,211.8264,211.7844,211.2348,211.5304,216.6345,212.3255,212.5153,212.3044,212.1299,212.0179,212.0493,211.6516
37,218.1921,219.694,217.7295,218.5856,218.2523,220.9223,217.32,217.6085,217.9587,218.8315,217.9414,218.0567,218.6942,217.5493,218.491,217.7453,217.5904,217.5394,217.5574,216.6949,217.6603,217.6133,217.1907,217.3334,222.4429,218.2205,218.5734,218.3201,218.1278,217.9964,218.0627,217.6512
38,224.0788,225.5724,223.5456,224.5247,224.3347,226.7865,223.3091,223.3793,223.9285,224.8121,223.9616,224.0626,224.627,223.3859,224.3045,223.5478,223.5094,223.5085,223.4059,222.4654,223.6676,223.4849,223.0034,223.2521,228.444,224.138,224.3724,224.1103,223.9166,223.7946,223.8705,223.418
39,229.9725,231.4452,229.5628,230.3153,230.1711,232.89,229.0627,229.3449,229.7695,230.6561,229.7685,229.8339,230.6167,229.2866,230.3894,229.5358,229.275,229.2491,229.3138,228.4237,229.4657,229.3683,228.9962,229.0305,234.2324,229.9219,230.2641,230.0295,229.8571,229.7761,229.8747,229.4223
40,235.8583,237.2712,235.3476,236.2995,236.1511,238.7257,234.9911,235.1265,235.766,236.6534,235.7372,235.7657,236.4599,235.0696,236.1827,235.3482,235.2344,235.2301,235.0937,234.2454,235.485,235.148,234.8193,235.0137,240.1857,235.9289,236.1794,235.8851,235.7338,235.615,235.7047,235.2109
41,241.7338,243.2416,241.3385,242.108,241.9656,244.6998,240.8116,241.0933,241.5544,242.4694,241.5439,241.7021,242.4876,241.0139,242.1597,241.2192,240.9995,240.989,241.0757,240.0695,241.2979,241.1214,240.7279,240.7797,245.9655,241.7096,241.9901,241.7412,241.5488,241.5266,241.6384,241.1589
42,247.6382,249.053,247.1966,248.08,247.9186,250.6226,246.6567,246.8589,247.5164,248.4664,247.4736,247.5488,248.3095,246.7967,247.9797,247.1407,246.9803,246.9047,246.8438,245.9967,247.271,246.9383,246.6158,246.7337,251.9075,247.7026,248.0331,247.7326,247.5297,247.4491,247.5121,247.0151
43,253.5029,255.0499,253.1109,253.8668,253.8188,256.4899,252.5852,252.751,253.3177,254.2665,253.3412,253.5999,254.343,252.7986,253.8943,252.918,252.8259,252.7313,252.8183,251.7636,253.1111,252.897,252.3838,252.5129,257.7718,253.5134,253.8328,253.5116,253.2945,253.2372,253.3434,252.8894
44,259.4327,260.8187,259.0287,259.8033,259.7113,262.5228,258.3614,258.6293,259.2626,260.1695,259.1463,259.3862,260.1828,258.5768,260.4039,258.9575,258.8208,258.5838,258.6145,257.7308,258.9771,258.6943,258.3848,258.4079,263.6671,259.4273,259.8344,259.5524,259.3197,259.2666,259.3122,258.8584
45,265.317,266.7956,264.8194,265.6439,265.6903,268.3402,264.3256,264.4204,265.17,266.0853,265.1082,265.3697,266.2297,264.4591,266.4867,264.7345,264.6852,264.4768,264.5188,263.4756,264.9466,264.6014,264.3376,264.3422,269.621,265.2856,265.6242,265.3452,265.129,265.0161,265.0872,264.6561
46,271.214,272.5888,270.8305,271.5344,271.5248,274.3837,270.1592,270.4241,271.0204,271.9224,270.8779,271.1672,272.0971,270.3646,272.3948,270.7404,270.5425,270.2357,270.3957,269.3955,270.7277,270.4691,270.2948,270.1276,275.4511,271.1467,271.6057,271.3829,271.1179,270.999,271.0525,270.6603
47,277.1067,278.488,276.6397,277.4902,277.6098,280.2045,276.1689,276.1896,276.9919,277.9664,276.8314,277.1794,278.0127,276.155,278.1854,276.5025,276.5634,276.2073,276.199,275.1318,276.7398,276.2963,276.0734,276.1347,281.508,277.1441,277.4718,277.1853,276.961,276.8018,276.8245,276.4516
48,283.0001,284.4754,282.6424,283.2931,283.4327,286.2446,282.0048,282.158,282.7571,283.7698,282.6091,282.9975,284.0071,282.1416,284.1917,282.3825,282.3876,281.9765,282.1859,280.998,282.5243,282.2683,282.0256,281.9038,287.2987,282.9082,283.3527,283.1017,282.8822,282.7599,282.8638,282.4587
49,288.9074,290.2731,288.4226,289.3028,289.4514,292.1658,287.9065,287.9417,288.7994,289.821,288.5571,288.9119,289.8253,287.931,289.9824,288.3219,288.4237,287.9391,287.9957,286.8913,288.486,288.0515,287.9038,287.9159,293.3322,288.9235,289.269,289.0143,288.7901,288.6507,288.7074,288.2202
50,294.7775,296.2579,294.3458,295.0893,295.2816,298.0971,293.8108,293.8943,294.6436,295.6573,294.3542,294.8742,295.8772,293.9175,295.9729,294.1348,294.2041,293.6784,294.0309,292.6367,294.2837,294.0207,293.7791,293.7141,299.1039,294.727,295.0814,294.8104,294.6147,294.4939,294.6203,294.0948
